day,temperature_c,tmin,tmax,precip_mm,wind_speed_ms,visibility_m,month,mean,std,temp_zscore
2025-03-17,4.697916666666667,-1.0,9.0,0.0,7.2,9585.989583333334,3,8.067911515153849,3.253033707524648,-1.0359544817171704
2025-03-18,6.104166666666667,0.0,13.0,0.0,9.3,9900.0,3,8.067911515153849,3.253033707524648,-0.6036656933325991
2025-03-19,9.729166666666666,2.0,17.0,0.0,6.2,9900.0,3,8.067911515153849,3.253033707524648,0.5106787389476289
2025-03-20,12.083333333333334,4.0,19.0,0.0,5.1,9900.0,3,8.067911515153849,3.253033707524648,1.2343621920951338
2025-03-21,13.578947368421053,7.0,18.0,0.0,9.3,9905.15625,3,8.067911515153849,3.253033707524648,1.6941219639131107
2025-03-22,13.947916666666666,11.0,19.0,0.0,5.7,9799.541666666666,3,8.067911515153849,3.253033707524648,1.8075451041013428
2025-03-23,11.041666666666666,7.0,15.0,0.0,6.2,9431.8125,3,8.067911515153849,3.253033707524648,0.9141482747732288
2025-03-24,8.84375,3.0,14.0,0.0,5.7,5837.489583333333,3,8.067911515153849,3.253033707524648,0.2384969092240101
2025-03-25,8.208333333333334,2.0,15.0,0.0,7.2,3317.1875,3,8.067911515153849,3.253033707524648,0.04316641965764844
2025-03-26,9.820224719101123,4.0,15.0,0.0,5.1,8279.449438202248,3,8.067911515153849,3.253033707524648,0.5386704723944201
2025-03-27,8.38961038961039,1.0,17.0,0.0,3.6,6896.103896103896,3,8.067911515153849,3.253033707524648,0.09889195851626541
2025-03-28,9.450704225352112,5.0,13.0,0.0,5.7,8764.267605633802,3,8.067911515153849,3.253033707524648,0.42507789175368876
2025-03-29,8.354166666666666,2.0,14.0,0.0,5.7,9923.71875,3,8.067911515153849,3.253033707524648,0.08799636808271473
2025-03-30,10.34375,4.0,16.0,0.0,7.7,9249.5625,3,8.067911515153849,3.253033707524648,0.6996049501675529
2025-03-31,8.217391304347826,2.0,14.0,0.0,5.7,9690.978260869566,3,8.067911515153849,3.253033707524648,0.045950888503925716
2025-04-01,9.677083333333334,4.0,15.0,0.0,11.3,9903.09375,4,12.413397951993137,2.517985255525502,-1.086707959331849
2025-04-02,12.333333333333334,6.0,18.0,0.0,11.8,9890.625,4,12.413397951993137,2.517985255525502,-0.03179709590598583
2025-04-03,14.916666666666666,8.0,22.0,0.0,7.7,9900.0,4,12.413397951993137,2.517985255525502,0.9941554300925002
2025-04-04,16.875,11.0,23.0,0.0,7.7,9901.03125,4,12.413397951993137,2.517985255525502,1.7718936352849015
2025-04-05,14.03125,8.0,21.0,0.0,7.7,9900.0,4,12.413397951993137,2.517985255525502,0.6425184756172128
2025-04-06,11.052083333333334,7.0,17.0,0.0,7.7,9900.0,4,12.413397951993137,2.517985255525502,-0.540636453558461
2025-04-07,9.74742268041237,3.0,16.0,0.0,6.2,10007.185567010309,4,12.413397951993137,2.517985255525502,-1.0587731861139826
2025-04-08,10.875,4.0,17.0,0.0,6.7,9891.65625,4,12.413397951993137,2.517985255525502,-0.6109638444535188
2025-04-09,9.104166666666666,5.0,16.0,0.0,7.2,9653.927083333334,4,12.413397951993137,2.517985255525502,-1.3142377534040945
2025-04-10,9.054347826086957,4.0,15.0,0.0,5.1,9929.934782608696,4,12.413397951993137,2.517985255525502,-1.3340229528886371
2025-04-11,10.677083333333334,1.0,20.0,0.0,6.2,8304.677083333334,4,12.413397951993137,2.517985255525502,-0.6895650460421123
2025-04-12,15.96875,7.0,25.0,0.0,8.8,9532.15625,4,12.413397951993137,2.517985255525502,1.4119828701160777
2025-04-13,12.28125,10.0,16.0,0.0,8.2,8873.520833333334,4,12.413397951993137,2.517985255525502,-0.052481622639826524
2025-04-14,12.53298969072165,5.0,18.0,0.0,6.4,9788.298969072164,4,12.413397951993137,2.517985255525502,0.04749501152402661
2025-04-15,14.010416666666666,9.0,20.0,0.0,8.8,9463.989583333334,4,12.413397951993137,2.517985255525502,0.6342446649236764
2025-04-16,10.520833333333334,8.0,15.0,0.0,7.7,9946.40625,4,12.413397951993137,2.517985255525502,-0.7516186262436336
2025-04-17,11.229166666666666,6.0,17.0,0.0,5.1,9903.09375,4,12.413397951993137,2.517985255525502,-0.47030906266340394
2025-04-18,12.114583333333334,5.0,19.0,0.0,7.2,9413.489583333334,4,12.413397951993137,2.517985255525502,-0.11867210818811574
2025-04-19,13.104166666666666,7.0,19.0,0.0,9.3,9902.0625,4,12.413397951993137,2.517985255525502,0.2743338997548524
2025-04-20,10.631578947368421,8.0,14.0,0.0,8.2,7764.28125,4,12.413397951993137,2.517985255525502,-0.7076367904516783
2025-04-21,10.979166666666666,6.0,17.0,0.0,6.7,7560.479166666667,4,12.413397951993137,2.517985255525502,-0.5695947909858381
2025-04-22,11.75,7.0,18.0,0.0,5.7,9313.21875,4,12.413397951993137,2.517985255525502,-0.26346379532499914
2025-04-23,9.284210526315789,6.0,13.0,0.0,7.7,9502.479166666666,4,12.413397951993137,2.517985255525502,-1.2427346104631134
